yourlist:M20190125216DA2B77BFBD2E6699CA9B6D1C41EB203BCDBR	Entry	Entry name	Status	Protein names	Gene names	Organism	Proteomes
I7G2H8	I7G2H8	I7G2H8_MYCS2	unreviewed	L-2-haloacid dehalogenase (EC 3.8.1.2)	MSMEI_0112	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F4N6	I7F4N6	I7F4N6_MYCS2	unreviewed	Alpha/beta hydrolase fold protein (EC 3.8.1.5)	MSMEI_0113	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G185	I7G185	I7G185_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0114	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCH9	I7FCH9	I7FCH9_MYCS2	unreviewed	Transcriptional regulatory protein (Possibly TetR-family)	MSMEI_0116	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2I2	I7G2I2	I7G2I2_MYCS2	unreviewed	Short-chain dehydrogenase/reductase SDR (EC 1.1.1.100)	MSMEI_0117	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCI4	I7FCI4	I7FCI4_MYCS2	unreviewed	GntR family regulatory protein	MSMEI_0121	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2I5	I7G2I5	I7G2I5_MYCS2	unreviewed	Mandelate racemase/muconate lactonizing protein (EC 5.1.2.2)	MSMEI_0122	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F4P5	I7F4P5	I7F4P5_MYCS2	unreviewed	Zinc-type alcohol dehydrogenase (E subunit) AdhE (EC 1.1.1.1)	adhE1 MSMEI_0124	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G191	I7G191	I7G191_MYCS2	unreviewed	Putative thioesterase	MSMEI_0125	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QNQ7	A0QNQ7	A0QNQ7_MYCS2	unreviewed	Cyclase/dehydrase family protein	MSMEG_0129	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QNQ9	A0QNQ9	A0QNQ9_MYCS2	unreviewed	AMP-binding enzyme, putative	MSMEG_0131	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7FCJ0	I7FCJ0	I7FCJ0_MYCS2	unreviewed	MCE-family protein MCE1b	mce2B MSMEI_0132	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2J2	I7G2J2	I7G2J2_MYCS2	unreviewed	MCE-family protein MCE1c	mce1C MSMEI_0133	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F4Q7	I7F4Q7	I7F4Q7_MYCS2	unreviewed	MCE-family protein MCE1d	mce2D MSMEI_0134	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G197	I7G197	I7G197_MYCS2	unreviewed	MCE-family lipoprotein LprK	lprL MSMEI_0135	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FVM5	I7FVM5	I7FVM5_MYCS2	unreviewed	MCE-family protein MCE1f	MSMEI_0136	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCJ5	I7FCJ5	I7FCJ5_MYCS2	unreviewed	Putative conserved MCE associated membrane protein	MSMEI_0137	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2J6	I7G2J6	I7G2J6_MYCS2	unreviewed	Conserved MCE associated transmembrane protein	MSMEI_0138	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F4R4	I7F4R4	I7F4R4_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0139	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G1A0	I7G1A0	I7G1A0_MYCS2	unreviewed	Conserved MCE associated membrane protein	MSMEI_0140	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2J9	I7G2J9	I7G2J9_MYCS2	unreviewed	Mosc domain protein	MSMEI_0143	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QNS6	A0QNS6	A0QNS6_MYCS2	unreviewed	Transcriptional regulator, TetR family protein	MSMEG_0148	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7F4S5	I7F4S5	I7F4S5_MYCS2	unreviewed	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)	pntAa MSMEI_0149	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QNT1	A0QNT1	A0QNT1_MYCS2	unreviewed	2-dehydropantoate 2-reductase (EC 1.1.1.169)	panE MSMEG_0153	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7FVN7	I7FVN7	I7FVN7_MYCS2	unreviewed	Pyruvate kinase (EC 2.7.1.40)	pyk MSMEI_0151	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCK7	I7FCK7	I7FCK7_MYCS2	unreviewed	Putative PAS/PAC sensor protein (EC 2.7.13.3)	MSMEI_0152	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QNT6	A0QNT6	A0QNT6_MYCS2	unreviewed	Formyl-CoA:oxalate CoA-transferase (FCOCT) (EC 2.8.3.16) (Formyl-coenzyme A transferase) (Formyl-CoA transferase)	frc MSMEG_0158	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QNV0	A0QNV0	A0QNV0_MYCS2	unreviewed	Probable conserved transmembrane protein, putative	MSMEG_0172	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G1C0	I7G1C0	I7G1C0_MYCS2	unreviewed	GntR-family transcriptional regulator	MSMEI_0175	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FVQ7	I7FVQ7	I7FVQ7_MYCS2	unreviewed	Putative transcriptional regulatory protein	MSMEI_0176	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCM5	I7FCM5	I7FCM5_MYCS2	unreviewed	Taurine dioxygenase (EC 1.14.11.17)	MSMEI_0177	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QNX0	A0QNX0	A0QNX0_MYCS2	unreviewed	Transcriptional regulator, RpiR family protein	MSMEG_0192	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7F4X0	I7F4X0	I7F4X0_MYCS2	unreviewed	Cutinase Cut1 (EC 3.1.1.74)	cut1 MSMEI_0189	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2N0	I7G2N0	I7G2N0_MYCS2	unreviewed	Acyl-CoA dehydrogenase type 2 domain protein	MSMEI_0193	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F4Y1	I7F4Y1	I7F4Y1_MYCS2	unreviewed	MarR-family transcriptional regulator	MSMEI_0199	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCP7	I7FCP7	I7FCP7_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0202	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F4Y8	I7F4Y8	I7F4Y8_MYCS2	unreviewed	UvrA-like ABC transporter	MSMEI_0204	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G1D3	I7G1D3	I7G1D3_MYCS2	unreviewed	Glyoxalase/bleomycin resistance protein/dioxygenase	MSMEI_0205	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCQ2	I7FCQ2	I7FCQ2_MYCS2	unreviewed	SMP-30/Gluconolaconase/LRE-like region	MSMEI_0207	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2N8	I7G2N8	I7G2N8_MYCS2	unreviewed	Pirin-like protein	MSMEI_0208	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G1D6	I7G1D6	I7G1D6_MYCS2	unreviewed	Zinc-type alcohol dehydrogenase AdhD (EC 1.1.1.1)	adhB MSMEI_0210	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QNZ6	A0QNZ6	A0QNZ6_MYCS2	unreviewed	RNA polymerase sigma factor	MSMEG_0219	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QNZ7	A0QNZ7	MGLL_MYCS2	reviewed	Monoacylglycerol lipase (MGL) (EC 3.1.1.23)	MSMEG_0220 MSMEI_0213	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNZ8	A0QNZ8	A0QNZ8_MYCS2	unreviewed	Secreted protein	MSMEG_0221	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G1D9	I7G1D9	I7G1D9_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0215	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FVT3	I7FVT3	I7FVT3_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0216	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCR3	I7FCR3	I7FCR3_MYCS2	unreviewed	O-methyltransferase	MSMEI_0217	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2P4	I7G2P4	I7G2P4_MYCS2	unreviewed	Transmembrane transport protein MmpL1	mmpL5 MSMEI_0218	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G1E2	I7G1E2	I7G1E2_MYCS2	unreviewed	Transcriptional regulator, TetR family	MSMEI_0220	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCR6	I7FCR6	I7FCR6_MYCS2	unreviewed	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	ilvD MSMEI_0222	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2P7	I7G2P7	I7G2P7_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0223	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F511	I7F511	I7F511_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0224	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QP10	A0QP10	A0QP10_MYCS2	unreviewed	Lipoprotein Lpps	MSMEG_0233	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7FCS2	I7FCS2	I7FCS2_MYCS2	unreviewed	PgPepO oligopeptidase Metallo peptidase MEROPS family M13 (EC 3.4.24.-)	MSMEI_0227	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QP12	A0QP12	A0QP12_MYCS2	unreviewed	Probable conserved membrane protein	MSMEG_0235	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7F515	I7F515	I7F515_MYCS2	unreviewed	Putative conserved transmembrane protein	MSMEI_0229	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FVU5	I7FVU5	I7FVU5_MYCS2	unreviewed	CoA binding domain protein	MSMEI_0231	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCS7	I7FCS7	I7FCS7_MYCS2	unreviewed	O-acetylhomoserine/O-acetylserine sulfhydrylase (EC 2.5.1.49)	MSMEI_0232	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QP17	A0QP17	A0QP17_MYCS2	unreviewed	Uncharacterized protein	MSMEG_0240	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QP18	A0QP18	MMPLB_MYCS2	reviewed	Mycolic acid-containing lipids exporter MmpL11	mmpL11 MSMEG_0241 MSMEI_0234 LJ00_01210	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G1F2	I7G1F2	I7G1F2_MYCS2	unreviewed	Putative exported protein	MSMEI_0235	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QP20	A0QP20	A0QP20_MYCS2	unreviewed	Uncharacterized protein	MSMEG_0243	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QP21	A0QP21	A0QP21_MYCS2	unreviewed	Two component response transcriptional regulatory protein prra	MSMEG_0244	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G2Q8	I7G2Q8	I7G2Q8_MYCS2	unreviewed	Sensor-type histidine kinase prrB (EC 2.7.13.3)	MSMEI_0238	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCT7	I7FCT7	I7FCT7_MYCS2	unreviewed	Conserved transmembrane protein	MSMEI_0242	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2R2	I7G2R2	I7G2R2_MYCS2	unreviewed	Drug exporters of the RND superfamily-like protein	mmpL3 MSMEI_0243	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QP28	A0QP28	A0QP28_MYCS2	unreviewed	Uncharacterized protein	MSMEG_0251	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QP29	A0QP29	A0QP29_MYCS2	unreviewed	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	trmB MSMEG_0252	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7FCU2	I7FCU2	I7FCU2_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0247	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QP32	A0QP32	PCKG_MYCS2	reviewed	Phosphoenolpyruvate carboxykinase [GTP] (PEP carboxykinase) (PEPCK) (EC 4.1.1.32)	pckG MSMEG_0255 MSMEI_0248	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G1G2	I7G1G2	I7G1G2_MYCS2	unreviewed	Fatty-acid-CoA ligase FadD4	fadD4 MSMEI_0250	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCU8	I7FCU8	I7FCU8_MYCS2	unreviewed	Short-chain dehydrogenase/reductase SDR (EC 1.1.1.100)	MSMEI_0252	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QP37	A0QP37	A0QP37_MYCS2	unreviewed	DNA-binding protein	MSMEG_0260	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7F536	I7F536	I7F536_MYCS2	unreviewed	p40 protein	MSMEI_0254	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QP39	A0QP39	A0QP39_MYCS2	unreviewed	Uncharacterized protein	MSMEG_0262	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G2S3	I7G2S3	I7G2S3_MYCS2	unreviewed	Orn/Lys/Arg decarboxylase, major region (EC 4.1.1.19)	MSMEI_0258	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QP43	A0QP43	A0QP43_MYCS2	unreviewed	Uracil DNA glycosylase superfamily protein	MSMEG_0265	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QP44	A0QP44	A0QP44_MYCS2	unreviewed	Esterase	MSMEG_0267	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QP45	A0QP45	A0QP45_MYCS2	unreviewed	Transcriptional regulator, GntR family protein	MSMEG_0268	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7FCV6	I7FCV6	I7FCV6_MYCS2	unreviewed	Short-chain dehydrogenase/reductase SDR (EC 1.1.1.100)	MSMEI_0262	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2S8	I7G2S8	I7G2S8_MYCS2	unreviewed	Aminoglycoside phosphotransferase (EC 2.7.1.39)	MSMEI_0263	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2T4	I7G2T4	I7G2T4_MYCS2	unreviewed	Alpha/beta hydrolase fold-3	MSMEI_0273	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G1H9	I7G1H9	I7G1H9_MYCS2	unreviewed	Putative ethyl tert-butyl ether degradation protein EthD	MSMEI_0275	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCX0	I7FCX0	I7FCX0_MYCS2	unreviewed	NAD(P)H dehydrogenase (Quinone) (EC 1.6.-.-)	MSMEI_0277	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QP62	A0QP62	A0QP62_MYCS2	unreviewed	Transcriptional regulator TetR family protein	MSMEG_0285	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
