"Entry.name"	"H37Rv"	"mc²155"	"Protein.function"	"category"	"keep"	"Fasta.headers"
"FadD32"	"Rv3801c"	"MSMEG_6393"	"Fatty acyl-AMP/ACP ligase"	"Mycolic acid condensation, transport and transfer"	TRUE	"tr|I7GFQ6|I7GFQ6_MYCS2 Fatty-acid-CoA ligase FadD32 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=fadD32 PE=4 SV=1;tr|A0R618|A0R618_MYCS2 Acyl-CoA synthase OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_6393 PE=1 SV=1"
"Pks13"	"Rv3800c"	"MSMEG_6392"	"Polyketide synthase"	"Mycolic acid condensation, transport and transfer"	TRUE	"tr|I7FMV0|I7FMV0_MYCS2 Polyketide synthase PKS13 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=pks13 PE=4 SV=1;tr|A0R617|A0R617_MYCS2 Polyketide synthase OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_6392 PE=4 SV=1||tr|A0R617|A0R617_MYCS2 Polyketide synthase OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_6392 PE=4 SV=1;tr|I7FMV0|I7FMV0_MYCS2 Polyketide synthase PKS13 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=pks13 PE=4 SV=1"
"AccD4"	"Rv3799c"	"MSMEG_6391"	"Acetyl/propionyl-CoA carboxylase beta chain 4"	"Mycolic acid condensation, transport and transfer"	TRUE	"tr|I7GGE0|I7GGE0_MYCS2 Propionyl-CoA carboxylase beta chain 4 accD4 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=accD4 PE=4 SV=1;tr|A0R616|A0R616_MYCS2 Propionyl-CoA carboxylase beta chain OS=Mycobacterium smegmatis (strain ATCC 700084 / m"
"AccD5"	"Rv3280"	"MSMEG_1813"	"propionyl-CoA carboxylase beta chain 5"	"Mycolic acid condensation, transport and transfer"	TRUE	"tr|I7G4Z0|I7G4Z0_MYCS2 Propionyl-CoA carboxylase beta chain 5 AccD5 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=accD5 PE=4 SV=1;tr|A0QTE7|A0QTE7_MYCS2 Propionyl-CoA carboxylase beta chain OS=Mycobacterium smegmatis (strain ATCC 700084 / m"
"AccA3"	"Rv3285"	"MSMEG_1807"	"biotin carboxyl carrier protein and biotin carboxyltransferase"	"Mycolic acid condensation, transport and transfer"	TRUE	"tr|I7G6G9|I7G6G9_MYCS2 Putative biotin-dependent acetyl/propionyl-CoA (Acyl-CoA) carboxylase OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=accA3 PE=4 SV=1;tr|A0QTE1|A0QTE1_MYCS2 Acetyl-/propionyl-coenzyme A carboxylase alpha chain OS=Mycoba"
"MmpL3"	"Rv0206c"	"MSMEG_0250"	"transmembrane transport protein"	"Mycolic acid condensation, transport and transfer"	TRUE	"tr|I7G2R2|I7G2R2_MYCS2 Drug exporters of the RND superfamily-like protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=mmpL3 PE=4 SV=1;tr|A0QP27|A0QP27_MYCS2 Membrane protein, MmpL family protein OS=Mycobacterium smegmatis (strain ATCC 700"
"Ag85A"	"Rv3804c"	"MSMEG_2078, MSMEG_6398"	"Secreted antigen 85-A FbpA (fibronectin-binding protein A) (antigen 85 complex A)"	"Mycolic acid condensation, transport and transfer"	TRUE	"FALSE"
"Ag85B"	"Rv1886c"	"MSMEG_2078, MSMEG_6398"	"Secreted antigen 85-B FbpB (85B) (antigen 85 complex B) (mycolyl transferase 85B) (fibronectin-binding protein B) (extracellular alpha-antigen)"	"Mycolic acid condensation, transport and transfer"	TRUE	"FALSE"
"Ag85C"	"Rv0129c"	"MSMEG_3580"	"Secreted antigen 85-C FbpC (85C) (antigen 85 complex C) (AG58C) (mycolyl transferase 85C) (fibronectin-binding protein C)"	"Mycolic acid condensation, transport and transfer"	TRUE	"tr|A0QY95|A0QY95_MYCS2 Antigen 85-C OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_3580 PE=4 SV=1;tr|I7G354|I7G354_MYCS2 Secreted antigen 85-C FbpC OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=fbpC PE=4 SV=1"
"Ag85D"	"Rv3803c"	"MSMEG_6396"	"Secreted MPT51/MPB51 antigen protein FbpD (MPT51/MPB51 antigen 85 complex C) (AG58C) (mycolyl transferase 85C) (fibronectin-binding protein C) (85C)"	"Mycolic acid condensation, transport and transfer"	TRUE	"tr|I7GGE2|I7GGE2_MYCS2 Secreted MPT51/MPB51 antigen protein fbpD OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=mpt51 PE=4 SV=1;tr|A0R621|A0R621_MYCS2 Antigen 85-C OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_6396 PE=4"
"PknBtubm"	"Rv0014c"	""	"Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)"	"Known markers phosphorylated (substrates of PknB)"	TRUE	"sp|mtPKNB|mtPKNB_MYCTU Mutated K40M Serine/threonine-protein kinase PknB fragment 30-48 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=pknBtubm PE=1 SV=1"
"PknB"	""	"MSMEG_0028"	""	"Known markers phosphorylated (substrates of PknB)"	TRUE	"sp|A0QNG1|PKNB_MYCS2 Serine/threonine-protein kinase PknB OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=pknB PE=1 SV=1||sp|mtPKNB|mtPKNB_MYCTU Mutated K40M Serine/threonine-protein kinase PknB fragment 30-48 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=pknBtubm PE=1 SV=1||sp|P9WI81|PKNB_MYCTU Serine/threonine-protein kinase PknB OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=pknBtub PE=1 SV=1"
"GarA"	"Rv1827"	"MSMEG_3647"	"Conserved protein with FHA domain, GarA"	"Known markers phosphorylated (substrates of PknB)"	TRUE	"sp|A0QYG2|GARA_MYCS2 Glycogen accumulation regulator GarA OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=garA PE=1 SV=2"
"PstP"	"Rv0018c"	"MSMEG_0033"	"Phosphoserine/threonine phosphatase PstP"	"Known markers phosphorylated (substrates of PknB)"	TRUE	"tr|I7FCA8|I7FCA8_MYCS2 Serine/threonine phosphatase PPP OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=ppp PE=4 SV=1;tr|A0QNG5|A0QNG5_MYCS2 Protein phosphatase 2C OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_0033 PE=4 "
"Wag31"	"Rv2145c"	"MSMEG_4217"	"Diviva family protein Wag31"	"Known markers phosphorylated (substrates of PknB)"	TRUE	"sp|A0R006|WAG31_MYCS2 Cell wall synthesis protein Wag31 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=wag31 PE=1 SV=1"
"Ppp"	""	"MSMEG_0033"	"Serine/threonine phosphatase PPP"	"Known markers phosphorylated (substrates of PknB)"	TRUE	"tr|I7FCA8|I7FCA8_MYCS2 Serine/threonine phosphatase PPP OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=ppp PE=4 SV=1;tr|A0QNG5|A0QNG5_MYCS2 Protein phosphatase 2C OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_0033 PE=4 "
